directed,source,target,type,year
True,author:alexandre_q_bracarense:4b260d0d,theme:best_welding_condition_requires_coordinated_torch_speed_and_part_posit:d97e8562,Has_Expertise_In,2004
True,article:2004_1323,keyword:robotics:d058025d,Contains,2004
True,article:2004_1323,keyword:cooperation:ca00e43f,Contains,2004
True,article:2004_1323,keyword:gmaw:25cbafdb,Contains,2004
True,article:2004_1323,keyword:rob_otica:1fe05b7e,Contains,2004
True,article:2004_1323,keyword:coopera_c_ao:2cb8f46b,Contains,2004
True,article:2004_1325,year:2004,Was_Published_In,2004
True,author:w_m_yonezawa:1f1485cb,article:2004_1325,Was_Author_of,2004
True,author:h_ferasoli_filho:350081ea,article:2004_1325,Was_Author_of,2004
True,author:r_pegoraro:2c2b8557,article:2004_1325,Was_Author_of,2004
True,author:j_m_rosario:a67a88ed,article:2004_1325,Was_Author_of,2004
True,author:c_r_erig_lima:b6bf5e69,article:2004_1325,Was_Author_of,2004
True,author:w_m_yonezawa:1f1485cb,affiliation:universidade_estadual_paulista:1b4f4989,Is_Linked_to,2004
True,author:w_m_yonezawa:1f1485cb,affiliation:universidade_estadual_de_campinas:a6e8c501,Is_Linked_to,2004
